playerID,firstName,lastName,birth_country,position,draftYear,GamesPlayed,Goals,Assists,Points
8478921,Jeremiah,Addison,CAN,L,2015,N/A,N/A,N/A,N/A
8478437,Filip,Ahl,SWE,L,2015,N/A,N/A,N/A,N/A
8478427,Sebastian,Aho,FIN,C,2015,598,254,303,557
8478397,Rasmus,Andersson,SWE,D,2015,455,36,164,200
8478891,Mason,Appleton,USA,C,2015,329,47,69,116
8478457,Karch,Bachman,USA,L,2015,N/A,N/A,N/A,N/A
8478870,Rudolfs,Balcers,LAT,L,2015,170,28,34,62
8478445,Mathew,Barzal,CAN,C,2015,500,128,314,442
8478451,Ethan,Bear,CAN,D,2015,275,17,50,67
8478833,J.C.,Beaudin,CAN,C,2015,22,0,1,1
8478463,Anthony,Beauvillier,CAN,L,2015,550,116,130,246
8478912,Jack,Becker,USA,C,2015,N/A,N/A,N/A,N/A
8478920,Ryan,Bednard,USA,G,2015,N/A,N/A,N/A,N/A
8478853,Daniel,Bernhardt,SWE,R,2015,N/A,N/A,N/A,N/A
8478426,Paul,Bittner,USA,L,2015,N/A,N/A,N/A,N/A
8478406,Mackenzie,Blackwood,CAN,G,2015,196,0,1,N/A
8478444,Brock,Boeser,USA,R,2015,479,179,205,384
8478884,Sergei,Boikov,RUS,D,2015,N/A,N/A,N/A,N/A
8478428,Nicholas,Boka,USA,D,2015,N/A,N/A,N/A,N/A
8478876,Radovan,Bondra,SVK,R,2015,N/A,N/A,N/A,N/A
8478473,Callum,Booth,CAN,G,2015,N/A,N/A,N/A,N/A
8478840,Will,Borgen,USA,D,2015,214,8,45,53
8478501,Gustav,Bouramman,SWE,D,2015,N/A,N/A,N/A,N/A
8478517,Simon,Bourque,CAN,D,2015,N/A,N/A,N/A,N/A
8478404,Jeremy,Bracco,USA,R,2015,N/A,N/A,N/A,N/A
8478862,Matthew,Bradley,CAN,C,2015,N/A,N/A,N/A,N/A
8478465,Guillaume,Brisebois,CAN,D,2015,27,1,2,3
8478913,Riley,Bruce,CAN,D,2015,N/A,N/A,N/A,N/A
8478476,Kyle,Capobianco,CAN,D,2015,73,5,7,12
8478443,Brandon,Carlo,USA,D,2015,554,28,72,100
8478506,Gabriel,Carlsson,SWE,D,2015,81,3,15,18
8478851,Alexandre,Carrier,CAN,D,2015,217,10,52,62
8478863,Joseph,Cecconi,USA,D,2015,N/A,N/A,N/A,N/A
8478416,Erik,Cernak,SVK,D,2015,365,20,68,88
8478469,Thomas,Chabot,CAN,D,2015,432,62,197,259
8478488,Filip,Chlapik,CZE,C,2015,57,5,6,11
8478901,Ivan,Chukarov,USA,D,2015,N/A,N/A,N/A,N/A
8478519,Anthony,Cirelli,CAN,C,2015,431,97,136,233
8478398,Kyle,Connor,USA,L,2015,531,243,242,485
8478504,David,Cotton,USA,C,2015,N/A,N/A,N/A,N/A
8478474,Lawson,Crouse,CAN,L,2015,504,103,94,197
8478861,Karlis,Cukste,LAT,D,2015,N/A,N/A,N/A,N/A
8478916,Joey,Daccord,USA,G,2015,69,0,0,N/A
8478925,John,Dahlstrom,SWE,R,2015,N/A,N/A,N/A,N/A
8478498,Jake,DeBrusk,CAN,L,2015,465,138,128,266
8478494,Alexander,Dergachyov,RUS,C,2015,N/A,N/A,N/A,N/A
8478408,Travis,Dermott,CAN,D,2015,329,16,46,62
8478879,Stephen,Desrocher,CAN,D,2015,N/A,N/A,N/A,N/A
8478471,Samuel,Dove-McFalls,CAN,L,2015,N/A,N/A,N/A,N/A
8478897,Liam,Dunda,USA,L,2015,N/A,N/A,N/A,N/A
8478407,Vince,Dunn,CAN,D,2015,480,64,183,247
8478832,Martins,Dzierkals,LAT,L,2015,N/A,N/A,N/A,N/A
8478403,Jack,Eichel,USA,C,2015,539,211,303,514
8478493,Joel,Eriksson Ek,SWE,C,2015,498,122,148,270
8478877,Giorgio,Estephan,CAN,C,2015,N/A,N/A,N/A,N/A
8478905,Ivan,Fedotov,RUS,G,2015,3,0,0,N/A
8478432,Christian,Fischer,USA,R,2015,477,61,69,130
8478497,Erik,Foley,USA,L,2015,N/A,N/A,N/A,N/A
8478417,Jakob,Forsbacka Karlsson,SWE,C,2015,29,3,6,9
8478456,Jesse,Gabrielle,CAN,L,2015,N/A,N/A,N/A,N/A
8478410,Gabriel,Gagne,CAN,R,2015,N/A,N/A,N/A,N/A
8478856,Conor,Garland,USA,R,2015,404,103,138,241
8478836,Brent,Gates Jr.,USA,C,2015,N/A,N/A,N/A,N/A
8478874,Adam,Gaudette,USA,R,2015,220,27,43,70
8478882,Vladislav,Gavrikov,RUS,D,2015,353,24,81,105
8478446,Glenn,Gawdin,CAN,C,2015,13,0,1,1
8478918,Matteo,Gennaro,CAN,C,2015,N/A,N/A,N/A,N/A
8478502,Dennis,Gilbert,USA,D,2015,82,3,11,14
8478413,Jordan,Greenway,USA,L,2015,401,52,99,151
8478421,A.J.,Greer,CAN,L,2015,167,13,19,32
8478394,Ryan,Gropp,CAN,L,2015,N/A,N/A,N/A,N/A
8478425,Brendan,Guhle,CAN,D,2015,65,4,10,14
8478495,Denis,Gurianov,RUS,R,2015,298,52,61,113
8478396,Noah,Hanifin,USA,D,2015,678,62,224,286
8478917,Petter,Hansson,SWE,D,2015,N/A,N/A,N/A,N/A
8478424,Jansen,Harkins,USA,C,2015,199,13,18,31
8478194,Adam,Helewka,CAN,L,2015,N/A,N/A,N/A,N/A
8478499,Adin,Hill,CAN,G,2015,136,0,4,N/A
8478449,Roope,Hintz,FIN,C,2015,392,147,163,310
8478453,Connor,Hobbs,CAN,D,2015,N/A,N/A,N/A,N/A
8478892,Patrick,Holway,USA,D,2015,N/A,N/A,N/A,N/A
8478888,Cameron,Hughes,CAN,C,2015,2,0,0,0
8478903,Adam,Huska,SVK,G,2015,1,0,0,N/A
8478147,Bokondji,Imama,CAN,L,2015,15,1,0,1
8478868,Christian,Jaros,SVK,D,2015,94,1,13,14
8478895,Lukas,Jasek,CZE,R,2015,N/A,N/A,N/A,N/A
8478452,Caleb,Jones,USA,D,2015,242,14,41,55
8478472,Mathieu,Joseph,CAN,R,2015,360,55,80,135
8478454,Noah,Juulsen,CAN,D,2015,122,3,14,17
8478902,Erik,Kallgren,SWE,G,2015,24,0,0,N/A
8478864,Kirill,Kaprizov,RUS,L,2015,278,160,170,330
8478865,Pavel,Karnaukhov,BLR,L,2015,N/A,N/A,N/A,N/A
8478436,David,Kase,CZE,R,2015,7,1,0,1
8478484,Graham,Knott,CAN,L,2015,N/A,N/A,N/A,N/A
8478434,Keegan,Kolesar,CAN,R,2015,275,26,47,73
8478439,Travis,Konecny,CAN,R,2015,564,174,226,400
8478478,Nikita,Korostelev,RUS,R,2015,N/A,N/A,N/A,N/A
8478418,Robin,Kovacs,SWE,R,2015,N/A,N/A,N/A,N/A
8478910,Jake,Kupsky,USA,G,2015,N/A,N/A,N/A,N/A
8478430,Oliver,Kylington,SWE,D,2015,201,17,38,55
8478491,Jacob,Larsson,SWE,D,2015,172,3,21,24
8478468,Jeremy,Lauzon,CAN,D,2015,288,14,30,44
8478505,Jesper,Lindgren,SWE,D,2015,N/A,N/A,N/A,N/A
8478490,Jens,Looke,SWE,R,2015,N/A,N/A,N/A,N/A
8478904,Steven,Lorentz,CAN,C,2015,230,21,22,43
